cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® CPU Max 9470 Processor,Q1'23,52,3.50 GHz,2.00 GHz,105 MB,350.0
Intel® Xeon® CPU Max 9480 Processor,Q1'23,56,3.50 GHz,1.90 GHz,112.5 MB,350.0
Intel Atom® x6214RE Processor,Q1'23,2,,1.40 GHz,1.5 MB L2 Cache,6.0
Intel Atom® x6416RE Processor,Q1'23,4,,1.70 GHz,1.5 MB L2 Cache,9.0
Intel Atom® x7211E Processor,Q1'23,2,3.20 GHz,,6 MB,6.0
Intel Atom® x7213E Processor,Q1'23,2,3.20 GHz,,6 MB,10.0
Intel Atom® x7425E Processor,Q1'23,4,3.40 GHz,,6 MB,12.0
Intel® Core™ i3-13100E Processor,Q1'23,4,4.40 GHz,3.30 GHz,12 MB Intel® Smart Cache,60.0
Intel® Core™ i3-13100TE Processor,Q1'23,4,4.10 GHz,2.40 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i3-1315UE Processor,Q1'23,6,4.50 GHz,1.20 GHz,10 MB Intel® Smart Cache,15.0
Intel® Core™ i3-1315URE Processor,Q1'23,6,4.50 GHz,1.20 GHz,10 MB Intel® Smart Cache,15.0
Intel® Core™ i3-1320PE Processor,Q1'23,8,4.50 GHz,1.70 GHz,12 MB Intel® Smart Cache,28.0
Intel® Core™ i3-13300HE Processor,Q1'23,8,4.6 GHz,2.1 GHz,12 MB Intel® Smart Cache,45.0
Intel® Core™ i3-N300 Processor,Q1'23,8,3.80 GHz,,6 MB Intel® Smart Cache,7.0
Intel® Core™ i3-N305 Processor,Q1'23,8,3.80 GHz,,6 MB Intel® Smart Cache,15.0
Intel® Core™ i5-13400E Processor,Q1'23,10,4.60 GHz,2.40 GHz,20 MB Intel® Smart Cache,65.0
Intel® Core™ i5-1345UE Processor,Q1'23,10,4.60 GHz,1.40 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i5-1345URE Processor,Q1'23,10,4.60 GHz,1.40 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i5-13500E Processor,Q1'23,14,4.60 GHz,2.40 GHz,24 MB Intel® Smart Cache,65.0
Intel® Core™ i5-13500TE Processor,Q1'23,14,4.50 GHz,1.30 GHz,24 MB Intel® Smart Cache,35.0
Intel® Core™ i7-1365UE Processor,Q1'23,10,4.90 GHz,1.70 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i7-13700E Processor,Q1'23,16,5.10 GHz,1.90 GHz,30 MB Intel® Smart Cache,65.0
Intel® Core™ i7-13700TE Processor,Q1'23,16,4.80 GHz,1.10 GHz,30 MB Intel® Smart Cache,35.0
Intel® Core™ i7-1370PE Processor,Q1'23,14,4.80 GHz,1.90 GHz,24 MB Intel® Smart Cache,28.0
Intel® Core™ i7-1375PRE Processor,Q1'23,14,4.8 GHz,1.90 GHz,24 MB Intel® Smart Cache,28.0
Intel® Core™ i7-13800HE Processor,Q1'23,14,5.00 GHz,2.50 GHz,24 MB Intel® Smart Cache,45.0
Intel® Core™ i9-13900E Processor,Q1'23,24,5.20 GHz,1.80 GHz,36 MB Intel® Smart Cache,65.0
Intel® Core™ i9-13900TE Processor,Q1'23,24,5.00 GHz,1.00 GHz,36 MB Intel® Smart Cache,35.0
Intel® Processor N100,Q1'23,4,3.40 GHz,,6 MB Intel® Smart Cache,6.0
Intel® Processor N200,Q1'23,4,3.70 GHz,,6 MB Intel® Smart Cache,6.0
Intel® Processor N50,Q1'23,2,3.40 GHz,,6 MB,6.0
Intel® Processor N97,Q1'23,4,3.60 GHz,,6 MB Intel® Smart Cache,12.0
Intel® Core™ i3-1320PRE Processor,Q1'23,8,4.50 GHz,1.70 GHz,12 MB Intel® Smart Cache,28.0
Intel® Core™ i3-13300HRE Processor,Q1'23,8,4.60 GHz,2.10 GHz,12 MB Intel® Smart Cache,45.0
Intel® Core™ i5-1350PRE Processor,Q1'23,12,4.60 GHz,1.80 GHz,12 MB Intel® Smart Cache,28.0
Intel® Core™ i5-13600HRE Processor,Q1'23,12,4.80 GHz,2.70 GHz,18 MB Intel® Smart Cache,45.0
Intel® Core™ i7-13800HRE Processor,Q1'23,14,5.00 GHz,2.50 GHz,24 MB Intel® Smart Cache,45.0
Intel® Celeron® Processor 7305L,Q3'22,5,1.1 GHz,1.1 GHz,8 MB Intel® Smart Cache,15.0
Intel® Core™ i3-1215UL Processor,Q3'22,6,4.40 GHz,1.20 GHz,10 MB Intel® Smart Cache,15.0
Intel® Core™ i5-1235UL Processor,Q3'22,10,4.40 GHz,1.30 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i5-1245UL Processor,Q3'22,10,4.40 GHz,1.60 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i7-1255UL Processor,Q3'22,10,4.70 GHz,1.70 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i7-1265UL Processor,Q3'22,10,4.80 GHz,1.80 GHz,12 MB Intel® Smart Cache,15.0
Intel® Xeon® D-2745NX Processor,Q3'22,10,3.50 GHz,2.40 GHz,17.5 MB,96.0
Intel® Xeon® D-2757NX Processor,Q3'22,12,3.50 GHz,2.50 GHz,20 MB,107.0
Intel® Xeon® D-2777NX Processor,Q3'22,16,3.30 GHz,2.20 GHz,25 MB,116.0
Intel® Xeon® D-2798NX Processor,Q3'22,20,3.10 GHz,2.10 GHz,30 MB,126.0
Intel Atom® Processor P5731,Q2'22,12,,2.20 GHz,13.5 MB,54.5
Intel Atom® Processor C5115,Q2'22,4,,2.80 GHz,9 MB,43.0
Intel Atom® Processor C5125,Q2'22,8,,2.80 GHz,9 MB,50.0
Intel Atom® Processor C5310,Q2'22,4,,1.60 GHz,9 MB,32.0
Intel Atom® Processor C5315,Q2'22,4,,2.40 GHz,9 MB,38.0
Intel Atom® Processor C5320,Q2'22,8,,2.40 GHz,9 MB,41.0
Intel Atom® Processor C5325,Q2'22,8,,2.40 GHz,9 MB,41.0
